what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1411093701905
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411093704504
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411093710870
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1411093710990
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1411093711065
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1411093725615
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411093726261
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411093726448
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1411093727723
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1411093729796
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411093741109
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1411093744666
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1411093747907
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1411093747907
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1411093749253
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1411093749254
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1411093751061
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1411093751165
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411093751500
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411093810889
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1411093814121
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411093815912
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411093816114
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411093816203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411093817898
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1411093818052
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1411093818119
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411093828289
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1411093831695
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1411093832503
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1411093833592
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1411093833592
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1411093834363
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411093837825
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411093845670
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1411093845787
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1411093845851
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411093854588
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1411093857069
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411093857666
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411093858148
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1411093860740
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1411093863118
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411093868628
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411093880489
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411093881382
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1411093900451
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411093903630
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411093909371
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1411093909477
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1411093909539
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411093915582
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1411093918275
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411093918880
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411093919072
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1411093920616
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1411093922794
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411093933297
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1411093937758
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1411093937931
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411093939659
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411093941446
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411093942753
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1411093945964
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1411093946215
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1411093946751
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1411093946751
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1411093947693
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411093951079
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411093951842
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1411093953556
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411093984826
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1411093985186
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1411093985262
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411093991085
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1411093994496
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1411093995586
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1411093997110
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411093999045
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411093999257
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1411094000356
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1411094005758
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411094007542
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411094012829
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411094015760
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411094019954
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411094028329
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411094038283
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411094043189
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1411094043218
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411094047335
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411094067661
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411094077110
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411094116174
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411094118971
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411094188982
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411094190054
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411094225977
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411094227090
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411094231029
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1411094231058
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411094253706
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411094270658
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1411094270684
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411094273315
